song_id,release_year,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,popularity,artist_type,genre,hit,duration_log,followers_log
2IjyFRCRn8x1bEquOM3vxg,2015,C,0.899,0.484,0.285,0.0,0.121,-10.863,0.0397,0.302,126.749,94.0,singer,pop,0,12.255629182627507,17.208010728290933
2ImuQo1g14CTR9hZAZD3aQ,1994,"F♯, G♭",0.0327,0.804,0.438,0.0129,0.112,-10.563,0.138,0.576,92.034,52.0,-,unknown,1,12.221099179546796,4.962844630259907
2InR8wwGrb3AVMmg4luLRy,1965,"A♯, B♭",0.749,0.394,0.536,0.0,0.244,-10.762,0.0572,0.382,134.67,59.0,band,adult standards,0,12.077107952499174,10.80059546499351
2IoP69pwUhyOtCACHEbhko,1974,C,0.55,0.485,0.491,0.000499,0.113,-11.675,0.0351,0.623,142.857,54.0,band,soul/r&b,0,12.489799406038621,11.786929416987036
2IpGdrWvIZipmaxo1YRxw5,2010,"C♯, D♭",0.0205,0.845,0.601,0.0,0.385,-5.283,0.161,0.329,74.008,80.0,singer,pop,1,12.396750854705175,15.295329186914815
2IpIOw1wpz0sCVpkiuaMiq,1969,C,0.473,0.475,0.53,0.0,0.157,-8.633,0.0296,0.608,117.991,54.0,band,adult standards,1,11.995357787034976,11.536485729379242
2IpeftovkFwpkWBYuS0qCz,2003,"F♯, G♭",0.612,0.544,0.593,6.75e-06,0.146,-5.887,0.0362,0.139,135.877,84.0,singer,pop,0,12.544072286503807,15.306308167393317
2IplZsq9NcTLvp4j1vYAum,1983,A,0.0036,0.664,0.667,0.000115,0.15,-8.037,0.0369,0.699,118.908,30.0,singer,rock,0,12.29390493547854,7.578656850594762
2IpnxK4w44QTGYuVUdR7RK,1966,E,0.697,0.571,0.562,5.47e-06,0.127,-11.679,0.0427,0.82,129.832,0.0,-,unknown,0,11.913766565480893,1.6094379124341003
2ItUIFCLdn2kQfNCSQ4Uuv,1975,C,0.408,0.667,0.749,4.49e-06,0.217,-7.199,0.0408,0.944,124.032,49.0,band,kids,0,12.138510892361857,10.654785709738103
2Iv4HSoMX2fDeXFcOJWyWX,1996,"G♯, A♭",0.000355,0.577,0.914,0.107,0.186,-4.392,0.0293,0.741,113.403,85.0,band,rock,1,12.498417579924615,16.258243258085702
2IwuXiEjBo1vlHluE0mxQV,1998,"C♯, D♭",0.0133,0.879,0.423,0.000233,0.155,-10.511,0.257,0.586,99.737,66.0,-,hip hop/rap,1,12.394765528914723,12.687791754757114
2IxoxL1FHw0RxN5r6y5mjF,2007,E,0.0304,0.673,0.913,0.00298,0.113,-4.981,0.0664,0.587,124.484,71.0,singer,pop,0,12.368080944678459,13.691893286202127
2J7VZDa5PBr9EBzpdZjRuB,1974,B,0.154,0.739,0.652,0.123,0.146,-8.061,0.0297,0.782,84.291,40.0,-,soul/r&b,0,13.187403647644764,11.106279660113902
2J8HDV2indtyQeO402aCAB,1972,F,0.942,0.448,0.262,3.8e-06,0.0838,-11.91,0.0288,0.496,91.602,56.0,singer,country,0,12.09365394606044,12.214120177109475
2J9ChZBgjDLdGaIKdKQcP0,1974,C,0.0672,0.747,0.395,0.0299,0.219,-13.78,0.0321,0.85,110.726,70.0,singer,soul/r&b,1,12.099828406170225,13.926842608464812
2JAECj9kBYQHb8AqJ2rsxt,1993,"F♯, G♭",0.236,0.395,0.502,5.79e-06,0.332,-8.328,0.0309,0.323,183.237,56.0,band,rock,1,12.091654567049847,11.928103251932185
2JH2QcFVy8jAKGePkpjAxX,1999,A,0.00582,0.685,0.749,0.0,0.249,-4.888,0.183,0.447,90.004,77.0,rapper,hip hop/rap,0,12.561229938418922,14.317485126452246
2JI71GHwq2LN8mtq3iCLYo,2015,"G♯, A♭",0.00215,0.886,0.628,1.15e-05,0.31,-5.949,0.131,0.178,119.906,66.0,rapper,hip hop/rap,1,12.386621799211962,13.399276674168322
2JJ4XVAm6Q0rdPy9LicKhA,1999,"D♯, E♭",0.0666,0.594,0.792,0.00041,0.32,-6.685,0.0382,0.657,142.002,57.0,singer,country,1,12.296831574998258,12.73353412294759
2JLRZNgv6KLyAN2Poceauu,1971,F,0.232,0.556,0.872,0.0,0.364,-9.028,0.0436,0.964,87.621,57.0,singer,soul/r&b,0,12.151975423809889,11.162360389143696
2JOt67D86qjgSEGkH8P4Pn,1974,D,0.136,0.607,0.612,0.00208,0.0648,-14.517,0.0582,0.878,130.304,73.0,band,adult standards,1,12.40274079603105,14.141123329166126
2JPPQgqm7SelpkvqMfXD3E,1972,E,0.522,0.647,0.918,1.96e-05,0.0922,-5.995,0.0315,0.966,115.459,38.0,singer,country,0,12.169968670299292,8.658519127506672
2JSHi2oUAuGsQ1cq5fyvPa,1984,G,0.00775,0.637,0.753,0.00383,0.261,-10.839,0.0459,0.971,139.279,51.0,band,rock,1,11.913498626997965,11.505185589260007
2JSnduEwkpqphqYB2kUw4R,1985,C,0.00963,0.67,0.656,2.46e-05,0.235,-12.858,0.0308,0.582,117.836,45.0,band,rock,0,12.437874604415025,10.958757311691734
2JTPTA8YW8QamQDQe25E3f,1980,A,0.0112,0.749,0.727,9.78e-06,0.119,-10.063,0.0321,0.759,118.356,11.0,band,unknown,0,12.182809136284991,5.6240175061873385
2JUjW1JP86NBkHHLrvpzEr,1987,"F♯, G♭",0.403,0.622,0.644,3.13e-06,0.104,-7.31,0.0345,0.461,120.011,57.0,band,rock,1,12.655366423576545,11.730445232414148
2JUo0cqyQkLxkBsmBz0E54,1983,F,0.751,0.568,0.351,0.0,0.47,-13.469,0.047,0.512,137.85,42.0,-,rock,0,12.160102002771888,8.500047032581268
2JVkVDbAsviXFPK171zzLE,1969,C,0.565,0.433,0.602,3.9e-06,0.661,-8.102,0.0396,0.935,176.084,44.0,band,pop,0,11.992718521035663,10.209279644160226
2JWp9AsBTjd7Uyi2BgwcuB,1965,"C♯, D♭",0.2,0.59,0.614,0.0,0.193,-4.331,0.0435,0.795,120.786,46.0,singer,pop,0,12.07489847247933,10.496234118987427
2JYtmcr6ZkJZ5wDmKRjPt5,2001,"G♯, A♭",0.0113,0.713,0.257,0.448,0.0454,-19.396,0.0864,0.91,179.997,26.0,-,functional,1,12.43289342753671,9.27995971385624
2JZbhUQLyXdBtsJxGU339u,1965,G,0.291,0.497,0.863,0.0,0.154,-5.291,0.0342,0.904,114.047,53.0,singer,adult standards,0,11.847882268187778,11.639038156959822
2JaHnS7CcIPoc7Il4BkqdR,1993,B,0.0509,0.838,0.452,0.0,0.0666,-15.219,0.0547,0.708,99.075,37.0,-,unknown,1,12.409140012134786,8.740816627567298
2JdhhL0CzxiAKCvEg9EeLf,1994,A,0.577,0.776,0.754,9.17e-05,0.0877,-5.08,0.0424,0.961,119.931,53.0,singer,country,0,12.307428151834118,11.374995842870499
2Je5WTf6URnl6cuxmxz2tk,1971,C,0.325,0.382,0.476,0.157,0.11,-13.375,0.0349,0.388,118.12,56.0,band,rock,0,12.324251158530638,12.366770417727214
2Jf0PGy9NzR1PTXvRFfaoE,1969,A,0.49,0.457,0.399,0.0,0.182,-11.558,0.0424,0.323,154.208,66.0,band,rock,0,13.003701455640673,13.535255503474499
2JfAwvb81jxgfLp69YWzd1,1981,F,0.0827,0.826,0.591,0.0,0.306,-9.265,0.0802,0.876,124.504,68.0,singer,pop,0,12.299567542341206,13.597381910970817
2JgBVzKUpiMSxPb4H9tbQV,1976,D,0.168,0.749,0.767,0.00203,0.0766,-10.901,0.063,0.662,110.699,45.0,band,soul/r&b,0,12.535379989788607,10.65225863684407
2Jgsd9GualAyCb6CQbi49j,1976,A,0.15,0.564,0.444,5.13e-05,0.0907,-13.379,0.027,0.704,128.731,72.0,band,rock,0,12.054482019300867,13.448630865096554
2JhIaeltCDCcp02K936tgx,1983,A,0.13,0.62,0.797,0.196,0.175,-5.914,0.0303,0.805,125.277,74.0,band,rock,0,12.448501043056247,14.05044433065296
2JiR1jNRVM3byTms2liGdU,1971,G,0.331,0.913,0.722,0.00318,0.103,-6.981,0.0455,0.951,104.403,69.0,band,funk,0,12.201733243931075,14.115094274041324
2JigRzQ3AWCd4BSJoAI0vR,1967,G,0.0215,0.663,0.606,0.0,0.119,-5.758,0.0307,0.412,96.886,90.0,band,rock,0,12.104045457048253,16.395724660280152
2JjtC0lslLJFNhC7PEOhG4,1996,"D♯, E♭",0.000812,0.651,0.542,0.0,0.295,-9.508,0.0375,0.377,143.385,54.0,-,hip hop/rap,0,12.47064216893346,13.269670694749578
2JoZzpdeP2G6Csfdq5aLXP,1978,F,0.105,0.633,0.357,0.0,0.133,-9.366,0.0264,0.674,104.938,78.0,band,disco,1,12.409833561339303,14.658209430629352
2Jok6fkKmcP7Lp7XLzQ1wj,1976,C,0.373,0.77,0.762,1.56e-05,0.0616,-6.746,0.147,0.495,127.642,57.0,band,disco,0,12.322316719814975,11.499424738916373
