song_id,score,release_year,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,explicit,song_type,followers,popularity,artist_type,main_genre
029NqmIySn1kOY305AAhxT,1990,1986,313533,1,1,4,0.0246,0.657,0.685,0.0,0.037,-5.203,0.0334,0.424,96.458,False,Solo,765895.0,68.0,band,album rock
02D9uD9WQb834Lb54xCvDS,935,1996,290067,2,0,4,0.343,0.695,0.638,0.0,0.635,-7.891,0.0458,0.701,118.106,False,Solo,946185.0,61.0,band,dance pop
02FJNRUlB28e1F0R9uP2s1,272,1976,188813,10,1,4,0.149,0.803,0.776,0.00471,0.222,-7.561,0.0333,0.969,113.193,False,Solo,13199963.0,90.0,band,british invasion
02G5d0C1S5pRtCiS3li3II,542,1966,202240,0,1,4,0.0421,0.58,0.503,2.25e-05,0.208,-9.437,0.0287,0.481,112.963,False,Solo,85669.0,52.0,band,brill building pop
02GwPAncasVL82yC7y2hmN,1389,2001,286427,1,1,4,0.142,0.735,0.844,0.0,0.319,-5.215,0.167,0.742,156.069,True,Solo,232135.0,62.0,rapper,crunk
02HlQYEwVcGVPRTMgxWO7r,2,1964,121707,5,1,1,0.0101,0.561,0.644,0.104,0.31,-10.034,0.0352,0.886,100.624,False,Solo,267.0,15.0,-,-
02PSTB9Cu6AQccSrMZKuKo,239,1966,349267,0,1,4,0.688,0.731,0.66,0.751,0.0715,-10.931,0.034,0.768,134.387,False,Solo,38125.0,48.0,-,funk
02QQXgeAghpU4smdM7l7We,1456,2008,250107,11,0,4,0.0448,0.707,0.724,0.0,0.072,-3.887,0.051,0.659,108.984,False,Solo,922856.0,64.0,singer,dance pop
02XnQdf7sipaKBBHixz3Zp,1535,2009,208307,5,0,4,0.113,0.762,0.692,0.0,0.094,-3.973,0.0438,0.397,114.906,False,Solo,8801807.0,89.0,singer,dance pop
02ZYIF6aoXo6Zz7EUBpoIc,445,1969,176693,5,1,4,0.267,0.671,0.46,0.366,0.0379,-13.482,0.0346,0.812,142.696,False,Solo,129609.0,58.0,band,afrobeat
02acUMylPHMjJ9miDc9b38,1005,2006,256600,1,0,4,0.0152,0.435,0.729,2.63e-05,0.11,-4.818,0.0307,0.524,188.017,False,Solo,439506.0,68.0,singer,acoustic pop
02as9VXZxm5tGvXNkowiDk,613,1996,266373,5,0,4,0.394,0.566,0.759,7.89e-06,0.0753,-9.091,0.0462,0.918,78.952,False,Solo,391592.0,60.0,singer,art pop
02cO8JBZT4Rx5BJ1qbe2uh,82,2008,239107,10,0,4,0.128,0.77,0.611,0.0,0.0898,-7.465,0.209,0.563,85.004,True,Collaboration,1480069.0,74.0,singer,dance pop
02d1E4NRuh7OEQO4vCb9PD,489,2012,264520,0,1,4,0.000992,0.612,0.877,0.00563,0.462,-4.43,0.064,0.38,131.068,False,Solo,8801807.0,89.0,singer,dance pop
02eD9ymfJOJOhM97HYp5R9,1465,2010,236627,5,1,4,0.575,0.515,0.3,8.46e-06,0.115,-8.005,0.0289,0.206,81.12,False,Solo,1975993.0,73.0,singer,contemporary country
02hIV5OSVZBRia0T3tqr5w,65,1964,154173,1,1,3,0.906,0.347,0.481,1.16e-06,0.277,-9.355,0.0284,0.566,107.863,False,Solo,4496.0,39.0,band,beach music
02iG08jjPlK4Zrw1yy95le,1074,1987,230093,6,1,4,0.00313,0.766,0.717,0.0423,0.0598,-7.492,0.0642,0.645,114.59,False,Solo,60121.0,38.0,singer,neo soul
02jcEwywffn3Tsb48fXmlW,1603,2002,192533,11,0,4,0.00108,0.802,0.904,0.0,0.173,-3.267,0.0459,0.961,128.931,False,Solo,6889105.0,86.0,singer,dance pop
02kLsFtDarrR3xZldeerbL,113,1985,203530,11,0,4,0.646,0.658,0.64,5.2e-05,0.104,-10.515,0.0357,0.36,112.389,False,Solo,0.0,0.0,-,-
02lTDOxHeXTHsdwXoz6lpC,1574,1996,299507,9,1,4,0.083,0.269,0.895,0.00266,0.153,-6.382,0.118,0.16,168.479,False,Solo,46103.0,51.0,band,alternative rock
02oIcYlpfTq4p3ssQnyuqG,325,1965,125295,5,1,4,0.491,0.339,0.506,0.893,0.0766,-12.769,0.0348,0.355,133.459,False,Solo,516.0,21.0,-,space age pop
